model_id,learning_rate,batch_size,optimizer,l2_reg,dropout,activation,epochs
model_0001,1e-05,16,adam,1e-05,0.0,relu,5
model_0002,0.1,16,adam,0.0,0.0,relu,10
model_0003,0.0001,256,sgd,1e-05,0.5,sigmoid,10
model_0004,0.01,256,adam,0.0,0.0,sigmoid,20
model_0005,0.001,32,sgd,0.0001,0.0,relu,35
model_0006,1e-05,64,adam,0.0001,0.0,sigmoid,50
model_0007,1e-05,128,sgd,0.0001,0.5,sigmoid,50
model_0008,0.0001,512,sgd,0.0,0.5,relu,20
model_0009,1e-05,32,sgd,0.001,0.2,sigmoid,20
model_0010,0.0001,64,adam,1e-05,0.5,sigmoid,5
model_0011,0.1,512,sgd,1e-05,0.0,sigmoid,35
model_0012,0.001,512,sgd,0.0001,0.0,relu,5
model_0013,0.001,128,adam,0.0,0.0,sigmoid,10
model_0014,0.01,128,adam,1e-05,0.2,relu,10
model_0015,0.1,256,adam,0.001,0.5,sigmoid,20
model_0016,0.0001,32,adam,0.0,0.0,relu,10
model_0017,0.0001,512,adam,0.0,0.2,sigmoid,50
model_0018,0.01,256,adam,0.0,0.5,relu,50
model_0019,0.001,512,adam,0.0,0.2,sigmoid,10
model_0020,0.01,16,adam,1e-05,0.5,relu,20
model_0021,0.1,256,sgd,1e-05,0.2,relu,50
model_0022,0.1,16,adam,0.001,0.0,relu,20
model_0023,0.001,32,sgd,1e-05,0.5,relu,5
model_0024,0.01,16,sgd,1e-05,0.5,sigmoid,50
model_0025,0.0001,64,adam,1e-05,0.5,relu,20
model_0026,0.01,512,adam,0.001,0.5,sigmoid,5
model_0027,0.0001,32,sgd,0.0001,0.0,relu,50
model_0028,0.0001,16,sgd,0.0,0.0,relu,5
model_0029,0.001,16,sgd,0.0001,0.5,sigmoid,10
model_0030,0.1,32,adam,1e-05,0.2,sigmoid,10
model_0031,1e-05,16,adam,0.0001,0.2,sigmoid,35
model_0032,1e-05,512,sgd,0.0,0.2,sigmoid,5
model_0033,0.0001,32,sgd,0.001,0.0,sigmoid,10
model_0034,0.001,128,sgd,0.0,0.2,relu,5
model_0035,0.1,16,sgd,1e-05,0.0,sigmoid,35
model_0036,0.01,32,adam,0.0,0.0,sigmoid,5
model_0037,0.01,64,adam,0.0001,0.2,sigmoid,10
model_0038,0.0001,64,sgd,0.0,0.5,relu,20
model_0039,1e-05,16,adam,1e-05,0.0,relu,10
model_0040,1e-05,256,sgd,1e-05,0.2,relu,50
model_0041,0.0001,256,sgd,0.0,0.2,sigmoid,20
model_0042,0.0001,512,adam,1e-05,0.2,sigmoid,10
model_0043,0.001,128,adam,0.0,0.0,sigmoid,50
model_0044,0.1,16,sgd,1e-05,0.5,sigmoid,10
model_0045,0.001,16,sgd,0.0001,0.2,relu,35
model_0046,0.1,512,adam,0.0,0.5,sigmoid,5
model_0047,0.0001,64,sgd,0.0,0.5,relu,20
model_0048,0.001,256,sgd,0.0001,0.0,sigmoid,50
