model_id,l1_mean,l1_var,l1_skew,l1_kurtosis,l1_l2_norm,l1_max_amp,l2_mean,l2_var,l2_skew,l2_kurtosis,l2_l2_norm,l2_max_amp,l3_mean,l3_var,l3_skew,l3_kurtosis,l3_l2_norm,l3_max_amp,quality_class
model_0001,-0.0024569777,0.00052139215,0.040595047,-0.5035858,10.288686,0.10304657,0.0027812738,0.0014108524,0.03441927,-0.6941078,6.8179383,0.11788381,-0.0070937998,0.0037352808,-0.046415158,-0.85352874,2.2012658,0.15314713,vidējs
model_0002,0.44221038,0.1328064,-2.157308,3.730898,256.71463,1.5519582,-0.12293838,0.21396305,0.43661183,-1.1291548,86.639435,1.1352507,0.33988106,0.3881176,-0.22021481,0.94787645,25.390059,2.5785694,slikts
model_0003,4.4146167e-05,0.00042445897,-0.0044870917,-1.1981307,9.229897,0.03665179,-0.00011492717,0.0013119497,-0.0059417193,-1.2153044,6.5567064,0.06412283,0.0001352283,0.0023592003,0.030188732,-1.1704807,1.7377571,0.09840985,slikts
model_0004,0.0018512454,0.049285505,-1.2077919,44.22843,99.460976,4.097211,-0.02518204,0.20065726,-0.7692161,32.832073,81.215256,6.8038173,-0.04587611,0.22088432,-0.51268846,0.90210557,16.89455,1.9960089,vidējs
model_0005,-0.00030563097,0.0006898925,-0.07329976,1.7588315,11.767878,0.25340447,0.0034857872,0.0025979178,0.040206745,0.51990914,9.248066,0.31218994,-0.0010980486,0.038077693,-0.053266373,0.019590616,6.981475,0.5658039,labs
model_0006,0.000101383645,0.0014943521,-0.021616014,1.5941916,17.318327,0.24142711,0.00073499215,0.008062896,0.011400475,-0.46810365,16.254927,0.29680103,-0.023408132,0.0237815,-0.15937278,-1.336276,5.5804734,0.3275426,vidējs
model_0007,-3.4493194e-05,0.00042477698,0.005242895,-1.1961632,9.233344,0.036662836,-0.0003426856,0.0012916587,0.005156917,-1.1956793,6.5060678,0.06339028,-0.0004903486,0.0023582347,0.017943716,-1.2101738,1.7374834,0.088470876,slikts
model_0008,-0.00023223992,0.00042792805,-6.1651386e-05,-1.1789222,9.2681,0.04848953,0.0004349097,0.0013208798,0.008547624,-1.1849284,6.579421,0.08314478,0.0018587469,0.003204684,0.010182101,-1.1032499,2.02643,0.14347696,slikts
model_0009,2.8147733e-05,0.0004238582,-0.004553276,-1.2062336,9.22335,0.03694219,-0.00024087145,0.0012913437,0.0013973915,-1.1964929,6.505125,0.06385368,0.00022308443,0.0024107175,0.0010925666,-1.1360548,1.7566394,0.090286694,slikts
model_0010,0.0012880375,0.0019250261,-0.09044653,1.8723712,19.66452,0.2603281,-0.0048216693,0.006734128,-0.025553996,-0.37514544,14.880381,0.2648795,-0.02048985,0.016821843,-0.2130802,-1.2461119,4.6978025,0.31099784,vidējs
