model_id,test_accuracy,quality_class
f_model_0001,48.28,slikts
f_model_0002,85.2,vidējs
f_model_0003,89.39,vidējs
f_model_0004,77.57,slikts
f_model_0005,77.07,slikts
f_model_0006,83.93,vidējs
f_model_0007,85.35,vidējs
f_model_0008,81.32,vidējs
f_model_0009,86.89,vidējs
f_model_0010,89.4,vidējs
f_model_0011,59.69,slikts
f_model_0012,64.61,slikts
f_model_0013,88.9,vidējs
f_model_0014,86.37,vidējs
f_model_0015,87.6,vidējs
f_model_0016,84.28,vidējs
f_model_0017,9.99,slikts
f_model_0018,89.32,vidējs
f_model_0019,88.69,vidējs
f_model_0020,61.01,slikts
f_model_0021,86.77,vidējs
f_model_0022,67.28,slikts
f_model_0023,30.27,slikts
f_model_0024,84.18,vidējs
f_model_0025,87.72,vidējs
f_model_0026,87.46,vidējs
f_model_0027,87.43,vidējs
f_model_0028,85.98,vidējs
f_model_0029,86.33,vidējs
f_model_0030,84.87,vidējs
f_model_0031,43.0,slikts
f_model_0032,74.99,slikts
f_model_0033,83.31,vidējs
f_model_0034,89.12,vidējs
f_model_0035,83.84,vidējs
f_model_0036,13.86,slikts
f_model_0037,68.86,slikts
f_model_0038,86.13,vidējs
f_model_0039,84.7,vidējs
f_model_0040,85.42,vidējs
f_model_0041,10.0,slikts
f_model_0042,19.74,slikts
f_model_0043,82.1,vidējs
f_model_0044,31.86,slikts
f_model_0045,52.76,slikts
f_model_0046,49.95,slikts
f_model_0047,10.01,slikts
f_model_0048,10.0,slikts
f_model_0049,77.75,slikts
f_model_0050,82.43,vidējs
f_model_0051,50.47,slikts
f_model_0052,87.88,vidējs
f_model_0053,49.87,slikts
f_model_0054,10.0,slikts
f_model_0055,54.5,slikts
f_model_0056,82.65,vidējs
f_model_0057,88.41,vidējs
f_model_0058,83.74,vidējs
f_model_0059,78.03,slikts
f_model_0060,60.25,slikts
f_model_0061,85.0,vidējs
f_model_0062,54.49,slikts
f_model_0063,88.25,vidējs
f_model_0064,87.4,vidējs
f_model_0065,16.88,slikts
f_model_0066,10.0,slikts
f_model_0067,27.05,slikts
f_model_0068,57.26,slikts
f_model_0069,10.02,slikts
f_model_0070,49.34,slikts
f_model_0071,83.69,vidējs
f_model_0072,89.47,vidējs
f_model_0073,68.39,slikts
f_model_0074,85.25,vidējs
f_model_0075,84.04,vidējs
f_model_0076,86.23,vidējs
f_model_0077,89.2,vidējs
f_model_0078,81.37,vidējs
f_model_0079,19.24,slikts
f_model_0080,88.14,vidējs
f_model_0081,89.21,vidējs
f_model_0082,88.35,vidējs
f_model_0083,55.65,slikts
f_model_0084,82.41,vidējs
f_model_0085,89.8,vidējs
f_model_0086,76.62,slikts
f_model_0087,75.45,slikts
f_model_0088,86.22,vidējs
f_model_0089,52.16,slikts
f_model_0090,10.0,slikts
f_model_0091,88.72,vidējs
f_model_0092,85.75,vidējs
f_model_0093,64.89,slikts
f_model_0094,10.0,slikts
f_model_0095,10.4,slikts
f_model_0096,10.0,slikts
f_model_0097,84.77,vidējs
f_model_0098,75.13,slikts
f_model_0099,88.62,vidējs
f_model_0100,83.17,vidējs
f_model_0101,76.36,slikts
f_model_0102,88.64,vidējs
f_model_0103,83.58,vidējs
f_model_0104,81.56,vidējs
f_model_0105,88.93,vidējs
f_model_0106,84.05,vidējs
f_model_0107,86.62,vidējs
f_model_0108,88.45,vidējs
f_model_0109,87.43,vidējs
f_model_0110,78.52,slikts
f_model_0111,88.55,vidējs
f_model_0112,17.54,slikts
f_model_0113,77.15,slikts
f_model_0114,81.53,vidējs
f_model_0115,36.46,slikts
f_model_0116,86.87,vidējs
f_model_0117,84.34,vidējs
f_model_0118,88.55,vidējs
f_model_0119,74.88,slikts
f_model_0120,85.87,vidējs
f_model_0121,76.22,slikts
f_model_0122,89.7,vidējs
f_model_0123,78.12,slikts
f_model_0124,81.32,vidējs
f_model_0125,38.47,slikts
f_model_0126,85.39,vidējs
f_model_0127,43.43,slikts
f_model_0128,88.26,vidējs
f_model_0129,31.79,slikts
f_model_0130,86.95,vidējs
f_model_0131,89.84,vidējs
f_model_0132,85.2,vidējs
f_model_0133,86.27,vidējs
f_model_0134,19.55,slikts
f_model_0135,89.12,vidējs
f_model_0136,87.25,vidējs
f_model_0137,84.68,vidējs
f_model_0138,83.45,vidējs
f_model_0139,79.42,slikts
f_model_0140,85.38,vidējs
f_model_0141,10.0,slikts
f_model_0142,10.0,slikts
f_model_0143,86.64,vidējs
f_model_0144,50.66,slikts
f_model_0145,85.6,vidējs
f_model_0146,73.62,slikts
f_model_0147,46.65,slikts
f_model_0148,83.75,vidējs
f_model_0149,81.89,vidējs
f_model_0150,49.3,slikts
f_model_0151,83.2,vidējs
f_model_0152,89.78,vidējs
f_model_0153,54.72,slikts
f_model_0154,88.88,vidējs
f_model_0155,79.95,slikts
f_model_0156,57.22,slikts
f_model_0157,88.95,vidējs
f_model_0158,84.09,vidējs
f_model_0159,74.92,slikts
f_model_0160,89.72,vidējs
f_model_0161,50.73,slikts
f_model_0162,88.34,vidējs
f_model_0163,83.39,vidējs
f_model_0164,81.38,vidējs
f_model_0165,81.58,vidējs
f_model_0166,26.39,slikts
f_model_0167,83.75,vidējs
f_model_0168,81.64,vidējs
f_model_0169,80.79,vidējs
f_model_0170,87.21,vidējs
f_model_0171,67.99,slikts
f_model_0172,70.65,slikts
f_model_0173,45.22,slikts
f_model_0174,88.77,vidējs
f_model_0175,86.39,vidējs
f_model_0176,88.84,vidējs
f_model_0177,89.48,vidējs
f_model_0178,47.29,slikts
f_model_0179,79.54,slikts
f_model_0180,85.88,vidējs
f_model_0181,67.71,slikts
f_model_0182,89.53,vidējs
f_model_0183,76.63,slikts
f_model_0184,9.99,slikts
f_model_0185,81.55,vidējs
f_model_0186,87.42,vidējs
f_model_0187,57.57,slikts
f_model_0188,89.06,vidējs
f_model_0189,52.0,slikts
f_model_0190,69.24,slikts
f_model_0191,10.0,slikts
f_model_0192,44.61,slikts
f_model_0193,83.1,vidējs
f_model_0194,10.0,slikts
f_model_0195,90.17,vidējs
f_model_0196,74.11,slikts
f_model_0197,87.07,vidējs
f_model_0198,87.89,vidējs
f_model_0199,57.45,slikts
f_model_0200,89.32,vidējs
