model_id,test_accuracy,quality_class
model_0001,91.43,vidējs
model_0002,8.92,slikts
model_0003,11.35,slikts
model_0004,94.89,vidējs
model_0005,97.78,labs
model_0006,92.54,vidējs
model_0007,11.35,slikts
model_0008,68.3,slikts
model_0009,11.35,slikts
model_0010,90.42,vidējs
model_0011,97.91,labs
model_0012,85.4,vidējs
model_0013,97.5,labs
model_0014,92.93,vidējs
model_0015,10.09,slikts
model_0016,97.3,labs
model_0017,95.39,labs
model_0018,89.47,vidējs
model_0019,96.79,labs
model_0020,25.63,slikts
model_0021,97.99,labs
model_0022,10.17,slikts
model_0023,94.81,vidējs
model_0024,97.95,labs
model_0025,97.29,labs
model_0026,87.74,vidējs
model_0027,95.13,labs
model_0028,90.96,vidējs
model_0029,90.85,vidējs
model_0030,9.82,slikts
model_0031,92.81,vidējs
model_0032,10.28,slikts
model_0033,36.23,slikts
model_0034,91.15,vidējs
model_0035,48.4,slikts
model_0036,84.18,vidējs
model_0037,91.41,vidējs
model_0038,90.19,vidējs
model_0039,93.32,vidējs
model_0040,54.14,slikts
model_0041,11.35,slikts
model_0042,89.46,vidējs
model_0043,97.28,labs
model_0044,89.57,vidējs
model_0045,98.23,labs
model_0046,9.74,slikts
model_0047,90.07,vidējs
model_0048,87.72,vidējs
model_0049,95.94,labs
model_0050,85.02,vidējs
model_0051,95.73,labs
model_0052,9.58,slikts
model_0053,92.91,vidējs
model_0054,97.33,labs
model_0055,97.3,labs
model_0056,11.35,slikts
model_0057,94.12,vidējs
model_0058,95.78,labs
model_0059,9.74,slikts
model_0060,97.4,labs
model_0061,95.16,labs
model_0062,87.56,vidējs
model_0063,11.35,slikts
model_0064,10.09,slikts
model_0065,97.81,labs
model_0066,9.82,slikts
model_0067,91.5,vidējs
model_0068,96.94,labs
model_0069,91.52,vidējs
model_0070,92.87,vidējs
model_0071,94.09,vidējs
model_0072,85.36,vidējs
model_0073,94.49,vidējs
model_0074,10.32,slikts
model_0075,76.59,slikts
model_0076,91.0,vidējs
model_0077,96.18,labs
model_0078,95.22,labs
model_0079,88.05,vidējs
model_0080,97.98,labs
model_0081,98.03,labs
model_0082,91.62,vidējs
model_0083,94.6,vidējs
model_0084,83.78,vidējs
model_0085,97.29,labs
model_0086,97.82,labs
model_0087,58.77,slikts
model_0088,9.58,slikts
model_0089,10.28,slikts
model_0090,98.03,labs
model_0091,86.79,vidējs
